id,device,timestamp,ACCOUNT_LABEL,DATE,TIME,uid
d3f152e2-e3a5-44c4-8a32-8b23705fed34-20,288dd230-46a6-4448-beea-a58291ca02d6,1364760749,1,2013-03-31,8:00 PM,u46
d3f152e2-e3a5-44c4-8a32-8b23705fed34-21,288dd230-46a6-4448-beea-a58291ca02d6,1364760749,2,2013-03-31,8:00 PM,u46
d3f152e2-e3a5-44c4-8a32-8b23705fed34-22,288dd230-46a6-4448-beea-a58291ca02d6,1364760749,3,2013-03-31,8:00 PM,u46
52fd165b-3972-4e42-b197-6973051401cf-72,288dd230-46a6-4448-beea-a58291ca02d6,1365970349,1,2013-04-14,8:00 PM,u46
52fd165b-3972-4e42-b197-6973051401cf-73,288dd230-46a6-4448-beea-a58291ca02d6,1365970349,2,2013-04-14,8:00 PM,u46
52fd165b-3972-4e42-b197-6973051401cf-75,288dd230-46a6-4448-beea-a58291ca02d6,1365970349,3,2013-04-14,8:00 PM,u46
d019cd0a-854d-48e3-b9c1-25acaf17fd7b-90,288dd230-46a6-4448-beea-a58291ca02d6,1366575149,1,2013-04-21,8:00 PM,u46
d019cd0a-854d-48e3-b9c1-25acaf17fd7b-91,288dd230-46a6-4448-beea-a58291ca02d6,1366575149,2,2013-04-21,8:00 PM,u46
d019cd0a-854d-48e3-b9c1-25acaf17fd7b-92,288dd230-46a6-4448-beea-a58291ca02d6,1366575149,3,2013-04-21,8:00 PM,u46
4d91a468-99fe-4a98-aa86-c438ccd4678d-96,288dd230-46a6-4448-beea-a58291ca02d6,1367525549,1,2013-05-02,12:00 PM,u46
4d91a468-99fe-4a98-aa86-c438ccd4678d-97,288dd230-46a6-4448-beea-a58291ca02d6,1367525549,2,2013-05-02,12:00 PM,u46
4d91a468-99fe-4a98-aa86-c438ccd4678d-98,288dd230-46a6-4448-beea-a58291ca02d6,1367525549,3,2013-05-02,12:00 PM,u46
9637ebb4-ee29-4840-a911-e84d6ae5a4ed-125,288dd230-46a6-4448-beea-a58291ca02d6,1367698349,1,2013-05-04,8:00 PM,u46
9637ebb4-ee29-4840-a911-e84d6ae5a4ed-126,288dd230-46a6-4448-beea-a58291ca02d6,1367698349,2,2013-05-04,8:00 PM,u46
9637ebb4-ee29-4840-a911-e84d6ae5a4ed-127,288dd230-46a6-4448-beea-a58291ca02d6,1367698349,3,2013-05-04,8:00 PM,u46
c4727fe2-5777-4c6f-af72-8503e4e9e379-194,288dd230-46a6-4448-beea-a58291ca02d6,1368303149,1,2013-05-11,8:00 PM,u46
c4727fe2-5777-4c6f-af72-8503e4e9e379-195,288dd230-46a6-4448-beea-a58291ca02d6,1368303149,2,2013-05-11,8:00 PM,u46
c4727fe2-5777-4c6f-af72-8503e4e9e379-196,288dd230-46a6-4448-beea-a58291ca02d6,1368303149,3,2013-05-11,8:00 PM,u46
a2c1e9a2-5562-4146-b31e-a136abeb7ebd-24,288dd230-46a6-4448-beea-a58291ca02d6,1368735293,1,2013-05-16,8:00 PM,u46
